Message,Label
"Never share your OTP 385535 or enter it on suspicious forms/sites from SMS links. Only use it in the GoTyme Bank app. If you didn't request it, call #468888.",ham
"Secure your accounts and cards your way with BDO Online! Confirm app transactions with biometrics or 6-digit PIN, and web transactions with SMS OTP. Lock or unlock Debit and Credit Cards, set limits for Debit Cards, enable or disable overseas Debit Card transactions. Log in now!",ham
"This deal's as hot as summer. Get GOMO FIBER and enjoy speeds of up to 100Mbps for a one-time installation fee of just P999. Apply now and get FREE UNLI FIBER for 30 days! Offer is extended until April 30, 2025 only. No advisories? Text OFF to 2686 for free.",ham
"Gusto naming ready ka kausapin ang Tropa! You get total of 17 GB and Unli Allnet Calls & Texts! That's (FREE 9 GB ALL ACCESS DATA for 3 days from us) when you avail DOBLE GIGA VIDEO+ 75 with 2 GB + 2 GB/day for YouTube, Netflix & MORE + UNLI ALLNET CALLS & TEXTS! For TODAY only! Load via Smart App o *123#",ham
Need UNSTPPBL Data? You can still get your favorite GOMO promos and pay using GCash via the GOMO PH app! Just visit the Shop tab and select Data Offers. No advisories? Text OFF to 2686 for free.,ham
Laging suliting ang load bago pa ito mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,ham
"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 1600.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 672482.",ham
May promo pa rin? Sulitin mo na 'yan bago pa mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,ham
Your payment of P149.00 to Netflix has been successfully processed on 04-06-25 08:35:17 PM. Ref. No. 067285940,ham
Kaya palang humiram ng BIGGER and BETTER load promos up to P99! Mag-load na with Borrow Load!,ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
Yassss! You've successfully registered to 15GB Data. You may view your promo details in the Account section of the GOMO PH app.,ham
"View, manage, add or remove, and group your BDO accounts and cards on BDO Online! Log in now!",ham
"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 265.56 to Seamoney Credit. Your OTP is 180803. If you DID NOT make this request, please ignore this message.",ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
You have received P237.60 GCash from Philippine Seven Corporation w/ MSG - PSC Cashin. Your new balance is P280.79 04-04-25 1:02PM. Ref no. 0027434731892.,ham
"[Important] You have an SPayLater bill of PHP , due on 04-05-2025. To avoid your account being suspended and incurring late penalties, please pay now via https://shp.ee/mvbcukc . For queries, please visit https://shp.ee/c2eni6k",ham
Isang linggo pa bago magka-budget? Mag TNT UTANG NA LOAD ka muna ng up to 1 GB! Dial *5623# NOW!,ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
May promo pa rin? Sulitin mo na 'yan bago pa mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,ham
Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,ham
Nag-expire na ang Open Access Data mo.,ham
"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
May 60 minutes ka na lang sa Open Access Data mo.,ham
"More data para ‘di bitin? With Borrow Load, kaya palang mag-upgrade to ALL ACCESS 99 for 15 days of sulit data!",ham
1/1 02-Apr 00:24: UTANG NA LOAD approved. May 200 MB data ka na for 1 day. P10 will be deducted sa iyong next reload. Ref:781064603965,ham
"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 2000.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 600353.",ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
Nag-expire na ang Unli Texts mo.,ham
Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,ham
Nag-expire na ang Unli Calls mo.,ham
Nag-expire na ang Open Access Data mo.,ham
Nag-expire na ang FREE UNLI TIKTOK ARAW-ARAW mo.,ham
"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
"Always stay connected. Manage your subscriptions and check out the Smart App for Bigger & Longer Offers, No Expiry offer and MORE! smrt.ph/SmartApp",ham
"Always stay connected. Manage your subscriptions and check out the Smart App for Bigger & Longer Offers, No Expiry offer and MORE! smrt.ph/SmartApp",ham
"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
May 60 minutes ka na lang sa FREE UNLI TIKTOK ARAW-ARAW mo.,ham
May 60 minutes ka na lang sa Unli Texts mo.,ham
May 60 minutes ka na lang sa Open Access Data mo.,ham
May 60 minutes ka na lang sa Unli Calls mo.,ham
"Last chance mo nang manalo ng group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! May cash prizes pa sa araw ng event! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. To earn raffle entries: Dial *123# and load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry. Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit the TNT Anibersaya webpage!",ham
"Para hindi maubusan ng data, download the smrt.ph/SmartApp for offers na exclusive for you. Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!",ham
Naubos na ang FREE 5G DATA mo.,ham
